id,phone,city,name,type,addr
399,212/254-4678,new york,le gamin,coffee bar,50 macdougal st.  between houston and prince sts.
400,212/343-9599,new york,le jardin,french,25 cleveland pl.  near spring st.
401,212/727-8022,new york,le madri,italian,168 w. 18th st.
402,212/869-0900,new york,le marais,american,150 w. 46th st.
403,212/755-6244,new york,le perigord,french,405 e. 52nd st.
404,212/875-1993,new york,le select,american,507 columbus ave.  between 84th and 85th sts.
405,212/679-4111,new york,les halles,french,411 park ave. s  between 28th and 29th sts.
406,212/721-8271,new york,lincoln tavern,american,51 w. 64th st.
407,212/675-6700,new york,lola,american,30 west 22nd st.  between 5th and 6th ave.
408,212/941-0479,new york,lucky strike,or 212/941-0772 american,59 grand st.  between wooster st. and w. broadway
409,212/787-0202,new york,mad fish,seafood,2182 broadway  between 77th and 78th sts.
410,212/873-5025,new york,main street,american,446 columbus ave.  between 81st and 82nd sts.
411,212/956-3976,new york,mangia e bevi,italian,800 9th ave. at 53rd st.
412,212/888-6556,new york,manhattan cafe,american,1161 1st ave.  between 63rd and 64th sts.
413,212/777-6314,new york,manila garden,asian,325 e. 14th st.  between 1st and 2nd aves.
414,212/370-1866,new york,marichu,french,342 e. 46th st.  between 1st and 2nd aves.
415,212/229-9313,new york,marquet patisserie,coffee bar,15 e. 12th st.  between 5th ave. and university pl.
416,212/906-9173,new york,match,american,160 mercer st.  between houston and prince sts.
417,212/838-4343,new york,matthew's,american,1030 3rd ave. at 61st st.
418,212/679-5535,new york,mavalli palace,asian,46 e. 29th st.
419,212/807-1801,new york,milan cafe and coffee bar,coffee bar,120 w. 23rd st.
420,212/838-2600,new york,monkey bar,american,60 e. 54th st.
421,212/421-4433,new york,montien,asian,1134 1st ave.   between 62nd and 63rd sts.
422,212/972-3315,new york,morton's,american,551 5th ave. at 45th st.
423,212/581-8030,new york,motown cafe,american,104 w. 57th st.  near 6th ave.
424,212/ 947-8482,new york,new york kom tang soot bul house,asian,32 w. 32nd st.
425,212/349-0923,new york,new york noodletown,asian,28 1/2 bowery at bayard st.
426,212/255-3996,new york,newsbar,coffee bar,2 w. 19th st.
427,212/233-0507,new york,odeon,american,145 w. broadway at thomas st.
428,212/489-7212,new york,orso,italian,322 w. 46th st.
429,212/944-3643,new york,osteria al droge,italian,142 w. 44th st.
430,212/223-7575,new york,otabe,asian,68 e. 56th st.
431,212/941-4168,new york,pacifica,asian,138 lafayette st.  between canal and howard sts.
432,212/245-4850,new york,palio,italian,151 w. 51st. st.
433,212/644-9258,new york,pamir,middle eastern,1065 1st ave.  at 58th st.
434,212/288-2391,new york,parioli romanissimo,italian,24 e. 81st st.
435,212/777-6211,new york,patria,latin american,250 park ave. s at 20th st.
436,212/872-4895,new york,peacock alley,french,301 park ave.  between 49th and 50th sts.
437,212/682-8660,new york,pen & pencil,american,205 e. 45th st.
438,212/274-8883,new york,penang soho,asian,109 spring st.  between greene and mercer sts.
439,212/535-1100,new york,persepolis,middle eastern,1423 2nd ave.  between 74th and 75th sts.
440,212/333-7827,new york,planet hollywood,american,140 w. 57th st.
441,212/ 956-3055,new york,pomaire,latin american,371 w. 46th st.  off 9th ave.
442,212/595-8555,new york,popover cafe,american,551 amsterdam ave.  between 86th and 87th sts.
443,212/935-2888,new york,post house,american,28 e. 63rd st.
444,212/501-0776,new york,rain,asian,100 w. 82nd st.
445,212/734-4893,new york,red tulip,eastern european,439 e. 75th st.
446,212/581-4242,new york,remi,italian,145 w. 53rd st.
447,212/627-7172,new york,republic,asian,37a union sq. w  between 16th and 17th sts.
448,212/674-4140,new york,roettelle a. g,continental,126 e. 7th st.  between 1st ave. and ave. a
449,212/753-7407,new york,rosa mexicano,mexican,1063 1st ave. at 58th st.
450,212/245-9600,new york,ruth's chris,american,148 w. 51st st.
451,212/925-3120,new york,s.p.q.r,italian,133 mulberry st.  between hester and grand sts.
452,212/982-9030,new york,sal anthony's,italian,55 irving pl.
453,212/673-0330,new york,sammy's roumanian steak house,east european,157 chrystie st. at delancey st.
454,212/753-9015,new york,san pietro,italian,18 e. 54th st.
455,212/570-2211,new york,sant ambroeus,coffee bar,1000 madison ave.  between 77th and 78th sts.
456,212/496-6280,new york,sarabeth's kitchen,american,423 amsterdam ave.  between 80th and 81st sts.
457,212/332-7610,new york,sea grill,seafood,19 w. 49th st.
458,212/838-3531,new york,serendipity,american,3 225 e. 60th st.
459,212/744-4107,new york,seventh regiment mess and bar,american,643 park ave. at 66th st.
460,212/873-3700,new york,sfuzzi,american,58 w. 65th st.
461,212/ 977-8400,new york,shaan,asian,57 w. 48th st.
462,212/734-2676,new york,sofia fabulous pizza,italian,1022 madison ave.  near 79th st.
463,212/966-0290,new york,spring street natural restaurant & bar,american,62 spring st. at lafayette st.
464,212/245-7850,new york,stage deli,delicatessen,834 7th ave.  between 53rd and 54th sts.
465,212/501-7515,new york,stingray,seafood,428 amsterdam ave.  between 80th and 81st sts.
466,212/334-8088,new york,sweet'n'tart cafe,asian,76 mott st. at canal st.
467,212/925-3700,new york,t salon,coffee bar,143 mercer st. at prince st.
468,212/956-6888,new york,tang pavillion,asian,65 w. 55th st.
469,212/ 397-3737,new york,tapika,american,950 8th ave. at 56th st.
470,212/228-0604,new york,teresa's,east european,103 1st ave.  between 6th and 7th sts.
471,212/666-9490,new york,terrace,continental,400 w. 119th st.  between amsterdam and morningside aves.
472,212/265-3566,new york,the coffee pot,coffee bar,350 9th ave. at 49th st.
473,212/496-1066,new york,the savannah club,american,2420 broadway at 89th st.
474,212/245-9800,new york,trattoria dell'arte,italian,900 7th ave.  between 56th and 57th sts.
475,212/472-4488,new york,triangolo,italian,345 e. 83rd st.
476,212/941-3900,new york,tribeca grill,american,375 greenwich st.  near franklin st.
477,212/988-4858,new york,trois jean,coffee bar,154 e. 79th st.  between lexington and 3rd aves.
478,212/688-5447,new york,tse yang,asian,34 e. 51st st.
479,212/679-1810,new york,turkish kitchen,middle eastern,386 3rd ave.  between 27th and 28th sts.
480,212/799-0400,new york,two two two,american,222 w. 79th st.
481,212/674-7264,new york,veniero's pasticceria,coffee bar,342 e. 11th st.  near 1st ave.
482,212/260-5454,new york,verbena,american,54 irving pl. at 17th st.
483,212/586-7714,new york,victor's cafe,latin american,52 236 w. 52nd st.
484,212/721-0068,new york,vince & eddie's,american,70 w. 68th st.
485,212/486-9592,new york,vong,american,200 e. 54th st.
486,212/683-3333,new york,water club,american,500 e. 30th st.
487,212/246-6363,new york,west,american,63rd street steakhouse 44 w. 63rd st.
488,212/614-0620,new york,xunta,mediterranean,174 1st ave.  between 10th and 11th sts.
489,212/614-9291,new york,zen palate,and 212/614-9345 asian,34 union sq. e at 16th st.
490,212/966-6722,new york,zoe,american,90 prince st.  between broadway and mercer st.
491,404/876-8532,atlanta,abbey,international,163 ponce de leon ave.
492,404/525-2062,atlanta,aleck's barbecue heaven,barbecue,783 martin luther king jr. dr.
493,404/264-9546,atlanta,annie's thai castle,asian,3195 roswell rd.
494,404/262-7379,atlanta,anthonys,american,3109 piedmont rd.  just south of peachtree rd.
495,404/262-3165,atlanta,atlanta fish market,american,265 pharr rd.
496,404/264-1334,atlanta,beesley's of buckhead,continental,260 e. paces ferry road
497,404/233-2333,atlanta,bertolini's,italian,3500 peachtree rd.  phipps plaza
498,404/724-0901,atlanta,bistango,mediterranean,1100 peachtree st.
499,770/441--0291,atlanta,cafe renaissance,american,7050 jimmy carter blvd.  norcross
500,404/872-7203,atlanta,camille's,italian,1186 n. highland ave.
501,404/365-8100,atlanta,cassis,mediterranean,3300 peachtree rd.  grand hyatt
502,404/524-2489,atlanta,city grill,international,50 hurt plaza
503,404/364-0212,atlanta,coco loco,caribbean,40  buckhead crossing mall on the sidney marcus blvd.
504,404/874-5642,atlanta,colonnade restaurant,southern,1879 cheshire bridge rd.
505,404/266-1600,atlanta,dante's down the hatch  buckhead,continental,3380 peachtree rd.
506,404/577-1800,atlanta,dante's down the hatch,continental,underground underground mall  underground atlanta
507,404/607-1622,atlanta,fat matt's rib shack,barbecue,1811 piedmont ave.  near cheshire bridge rd.
508,404/875-2489,atlanta,french quarter food shop,southern,923 peachtree st.  at 8th st.
509,770/242-3984,atlanta,holt bros. bar-b-q,barbecue,6359 jimmy carter blvd.  at buford hwy.  norcross
510,404/255-7277,atlanta,horseradish grill,southern,4320 powers ferry rd.
511,404/659-2788,atlanta,hsu's gourmet,asian,192 peachtree center ave.  at international blvd.
512,404/351-0870,atlanta,imperial fez,mediterranean,2285 peachtree rd.  peachtree battle condominium
513,404/841-0314,atlanta,kamogawa,asian,3300 peachtree rd.  grand hyatt
514,770/395-9925,atlanta,la grotta at ravinia dunwoody rd.,italian,holiday inn/crowne plaza at ravinia  dunwoody
515,770/451-0192,atlanta,little szechuan,asian,c buford hwy.  northwoods plaza  doraville
516,404/255-5160,atlanta,lowcountry barbecue,barbecue,6301 roswell rd.  sandy springs plaza  sandy springs
517,404/355-5993,atlanta,luna si,continental,1931 peachtree rd.
518,404/874-2626,atlanta,mambo restaurante cubano,caribbean,1402 n. highland ave.
519,404/237-1313,atlanta,mckinnon's louisiane,southern,3209 maple dr.
520,770/393-1333,atlanta,mi spia dunwoody rd.,italian,park place  across from perimeter mall  dunwoody
521,404/842-0334,atlanta,nickiemoto's: a sushi bar,fusion,247 buckhead ave.  east village sq.
522,404/350-6755,atlanta,palisades,continental,1829 peachtree rd.
523,404/874-3223,atlanta,pleasant peasant,american,555 peachtree st.  at linden ave.
524,404/237-2941,atlanta,pricci,italian,500 pharr rd.
525,404/875-7775,atlanta,r.j.'s uptown kitchen & wine bar,american,870 n. highland ave.
526,404/233-7644,atlanta,rib ranch,barbecue,25 irby ave.
527,404/325-5285,atlanta,sa tsu ki,asian,3043 buford hwy.
528,770/449-0033,atlanta,sato sushi and thai,asian,6050 peachtree pkwy.  norcross
529,404/873-7358,atlanta,south city kitchen,southern,1144 crescent ave.
530,404/325-6963,atlanta,south of france,french,2345 cheshire bridge rd.
531,770/458-7145,atlanta,stringer's fish camp and oyster bar,southern,3384 shallowford rd.  chamblee
532,404/321-1118,atlanta,sundown cafe,american,2165 cheshire bridge rd.
533,404/874-5535,atlanta,taste of new orleans,southern,889 w. peachtree st.
534,404/264-1163,atlanta,tomtom,continental,3393 peachtree rd.
535,702/252-7737,las vegas,antonio's,italian,3700 w. flamingo
536,702/739-4111,las vegas,bally's big kitchen,buffets,3645 las vegas blvd. s
537,702/871-3262,las vegas,bamboo garden,asian,4850 flamingo rd.
538,702/732-1424,las vegas,battista's hole in the wall,italian,4041 audrie st. at flamingo rd.
539,702/735-4663,las vegas,bertolini's,italian,3570 las vegas blvd. s
540,702/382-1600,las vegas,binion's coffee shop,coffee shops/diners,128 fremont st.
541,702/791-7111,las vegas,bistro,continental,3400 las vegas blvd. s
542,702/432-7777,las vegas,broiler,american,4111 boulder hwy.
543,702/733-3111,las vegas,bugsy's diner,coffee shops/diners,3555 las vegas blvd. s
544,702/735-8686,las vegas,cafe michelle,american,1350 e. flamingo rd.
545,702/731-7547,las vegas,cafe roma,coffee shops/diners,3570 las vegas blvd. s
546,702/731-5311,las vegas,capozzoli's,italian,3333 s. maryland pkwy.
547,702/252-7777,las vegas,carnival world,buffets,3700 w. flamingo rd.
548,702/386-2512,las vegas,center stage plaza hotel,american,1 main st.
549,702/734-0410,las vegas,circus circus,buffets,2880 las vegas blvd. s
550,702/731-7888,las vegas,empress court,asian,3570 las vegas blvd. s
551,702/367-2411,las vegas,feast,buffets,2411 w. sahara ave.
552,702/385-7111,las vegas,golden nugget hotel,buffets,129 e. fremont st.
553,702/384-4470,las vegas,golden steer,steak houses,308 w. sahara ave.
554,702/385-7111,las vegas,lillie langtry's,asian,129 e. fremont st.
555,702/737-1234,las vegas,mandarin court,asian,1510 e. flamingo rd.
556,702/794-8200,las vegas,margarita's mexican cantina,mexican,3120 las vegas blvd. s
557,702/454-8073,las vegas,mary's diner,coffee shops/diners,5111 w. boulder hwy.
558,702/791-7111,las vegas,mikado,asian,3400 las vegas blvd. s
559,702/733-2066,las vegas,pamplemousse,continental,400 e. sahara ave.
560,702/732-6330,las vegas,ralph's diner,coffee shops/diners,3000 las vegas blvd. s
561,702/731-7525,las vegas,the bacchanal,only in las vegas,3570 las vegas blvd. s
562,702/876-4190,las vegas,venetian,italian,3713 w. sahara ave.
563,702/871-8826,las vegas,viva mercado's,mexican,6182 w. flamingo rd.
564,702/794-0700,las vegas,yolie's,steak houses,3900 paradise rd.
565,415/431-0692,san francisco,2223,american,2223 market st.
566,415/567-5432,san francisco,acquarello,italian,1722 sacramento st.
567,415/982-0243,san francisco,bardelli's,old san francisco,243 o'farrell st.
568,415/929-8855,san francisco,betelnut,asian,2030 union st.
569,415/495-6500,san francisco,bistro roti,french,155 steuart st.
570,415/433-6300,san francisco,bix,american,56 gold st.
571,415/543-2222,san francisco,bizou,french,598 fourth st.
572,415/776-7766,san francisco,buca giovanni,italian,800 greenwich st.
573,415/474-4180,san francisco,cafe adriano,italian,3347 fillmore st.
574,415/776-1506,san francisco,cafe marimba,mexican/latin american/spanish,2317 chestnut st.
575,415/771-3500,san francisco,california culinary academy,french,625 polk st.
576,415/989-2589,san francisco,capp's corner,italian,1600 powell st.
577,415/863-3516,san francisco,carta,american,1772 market st.
578,415/543-8060,san francisco,chevys,mexican/latin american/spanish,4th and howard sts.
579,415/296-8555,san francisco,cypress club,american,500 jackson st.
580,415/788-9900,san francisco,des alpes,french,732 broadway
581,415/362-0404,san francisco,faz,greek and middle eastern,161 sutter st.
582,415/982-2000,san francisco,fog city diner,american,1300 battery st.
583,415/546-5011,san francisco,garden court,old san francisco,market and new montgomery sts.
584,415/771-8822,san francisco,gaylord's,asian,ghirardelli sq.
585,415/292-0101,san francisco,grand cafe hotel monaco,american,501 geary st.
586,415/771-6222,san francisco,greens,vegetarian,bldg. a fort mason
587,415/781-8833,san francisco,harbor village,asian,4 embarcadero center
588,415/673-1888,san francisco,harris',steak houses,2100 van ness ave.
589,415/882-1333,san francisco,harry denton's,american,161 steuart st.
590,415/863-5545,san francisco,hayes street grill,seafood,320 hayes st.
591,415/362-0641,san francisco,helmand,greek and middle eastern,430 broadway
592,415/668-8998,san francisco,hong kong flower lounge,asian,5322 geary blvd.
593,415/752-8833,san francisco,hong kong villa,asian,2332 clement st.
594,415/441-7778,san francisco,hyde street bistro,italian,1521 hyde st.
595,415/986-0100,san francisco,il fornaio levi's plaza,italian,1265 battery st.
596,415/563-0487,san francisco,izzy's steak & chop house,steak houses,3345 steiner st.
597,415/986-9854,san francisco,jack's,old san francisco,615 sacramento st.
598,415/752-5652,san francisco,kabuto sushi,asian,5116 geary blvd.
599,415/668-9292,san francisco,katia's,,600 5th ave.
600,415/397-7720,san francisco,kuleto's,italian,221 powell st.
601,415/546-5000,san francisco,kyo-ya. sheraton palace hotel,asian,2 new montgomery st.  at market st.
602,415/982-1124,san francisco,l'osteria del forno,italian,519 columbus ave.
603,415/391-2233,san francisco,le central,french,453 bush st.
604,415/668-4848,san francisco,le soleil,asian,133 clement st.
605,415/398-5700,san francisco,macarthur park,american,607 front st.
606,415/861-6224,san francisco,manora,asian,3226 mission st.
607,415/362-8286,san francisco,maykadeh,greek and middle eastern,470 green st.
608,415/929-1730,san francisco,mccormick & kuleto's,seafood,ghirardelli sq.
609,415/487-9800,san francisco,millennium,vegetarian,246 mcallister st.
610,415/989-7800,san francisco,moose's,mediterranean,1652 stockton st.
611,415/931-1556,san francisco,north india,asian,3131 webster st.
612,415/777-5577,san francisco,one market,american,1 market st.
613,415/346-1333,san francisco,oritalia,italian,1915 fillmore st.
614,415/929-2087,san francisco,pacific pan pacific hotel,french,500 post st.
615,415/395-9800,san francisco,palio d'asti,italian,640 sacramento st.
616,415/346-2111,san francisco,pane e vino,italian,3011 steiner st.
617,415/391-2555,san francisco,pastis,french,1015 battery st.
618,415/922-9022,san francisco,perry's,american,1944 union st.
619,415/982-7877,san francisco,r&g lounge,or 415/982-3811 asian,631 b kearny st.
620,415/434-4100,san francisco,rubicon,american,558 sacramento st.
621,415/421-2300,san francisco,rumpus,american,1 tillman pl.
622,415/346-3486,san francisco,sanppo,asian,1702 post st.
623,415/395-8555,san francisco,scala's bistro,italian,432 powell st.
624,415/495-7275,san francisco,south park cafe,french,108 south park
625,415/986-3222,san francisco,splendido embarcadero,mediterranean,4
626,415/861-7827,san francisco,stars,american,150 redwood alley
627,415/861-4344,san francisco,stars cafe,american,500 van ness ave.
628,415/664-3664,san francisco,stoyanof's cafe,greek and middle eastern,1240 9th ave.
629,415/668-1783,san francisco,straits cafe,asian,3300 geary blvd.
630,415/252-9289,san francisco,suppenkuche,russian/german,601 hayes st.
631,415/391-2373,san francisco,tadich grill,seafood,240 california st.
632,415/474-8890,san francisco,the heights,french,3235 sacramento st.
633,415/863-9335,san francisco,thepin,asian,298 gough st.
634,415/752-4440,san francisco,ton kiang,asian,3148 geary blvd.
635,415/433-7250,san francisco,vertigo,mediterranean,600 montgomery st.
636,415/346-4430,san francisco,vivande porta via,italian,2125 fillmore st.
637,415/673-9245,san francisco,vivande ristorante,italian,670 golden gate ave.
638,415/563-9727,san francisco,world wrapps,american,2257 chestnut st.
639,415/957-9300,san francisco,wu kong,asian,101 spear st.
640,415/541-4949,san francisco,yank sing,asian,427 battery st.
641,415/566-6966,san francisco,yaya cuisine,greek and middle eastern,1220 9th ave.
642,415/922-7788,san francisco,yoyo tsumami bistro,french,1611 post st.
643,415/346-0800,san francisco,zarzuela,mexican/latin american/spanish,2000 hyde st.
644,415/552-2522,san francisco,zuni cafe & grill,mediterranean,1658 market st.
645,310-475-3585,west la,apple pan  the,american,10801 w. pico blvd.
646,310-479-2231,west la,asahi ramen,noodle shops,2027 sawtelle blvd.
647,805-498-4049,westlake village,baja fresh,mexican,3345 kimber dr.
648,310-788-2306,beverly hills,belvedere  the,pacific new wave,9882 little santa monica blvd.
649,310-458-2889,santa monica,benita's frites,fast food,1433 third st. promenade
650,213-612-1580,los angeles,bernard's,continental,515 s. olive st.
651,818-795-2478,pasadena,bistro 45,californian,45 s. mentor ave.
652,818-886-5679,northridge,brent's deli,delis,19565 parthenia ave.
653,310-276-7732,beverly hills,brighton coffee shop,coffee shops,9600 brighton way
654,310-643-5229,pasadena,bristol farms market cafe,californian,1570 rosecrans ave. s.
655,310-397-5703,mar vista,bruno's,italian,3838 centinela ave.
656,310-399-1955,venice,cafe '50s,american,838 lincoln blvd.
657,310-888-0108,beverly hills,cafe blanc,pacific new wave,9777 little santa monica blvd.
658,213-480-8668,la,cassell's,hamburgers,3266 w. sixth st.
659,310-540-1222,redondo beach,chez melange,eclectic,1716 pch
660,310-854-1111,w. hollywood,diaghilev,russian,1020 n. san vicente blvd.
661,310-209-1422,westwood,don antonio's,italian,1136 westwood blvd.
662,310-652-3100,w. hollywood,duke's,coffee shops,8909 sunset blvd.
663,310-208-4444,westwood,falafel king,middle eastern,1059 broxton ave.
664,310-475-0400,west la,feast from the east,chinese,1949 westwood blvd.
665,213-933-0358,la,gumbo pot  the,cajun/creole,6333 w. third st.
666,213-467-7678,hollywood,hollywood hills coffee shop,coffee shops,6145 franklin ave.
667,310-815-1290,la,indo cafe,indonesian,10428 1/2 national blvd.
668,213-651-2866,la,jan's family restaurant,coffee shops,8424 beverly blvd.
669,310-917-6671,santa monica,jiraffe,californian,502 santa monica blvd
670,310-306-1995,venice,jody maroni's sausage kingdom,hot dogs,2011 ocean front walk
671,310-399-5811,venice,joe's,american (new),1023 abbot kinney blvd.
672,310-204-0692,west la,john o'groats,coffee shops,10516 w. pico blvd.
673,310-397-6654,culver city,johnnie's pastrami,delis,4017 s. sepulveda blvd.
674,310-423-7327,long beach,johnny reb's southern smokehouse,southern/soul,4663 long beach blvd.
675,213-651-3361,la,johnny rockets (la),american,7507 melrose ave.
676,818-508-1570,studio city,killer shrimp,seafood,4000 colfax ave.
677,213-933-0773,la,kokomo cafe,american,6333 w. third st.
678,213-655-9045,la,koo koo roo,chicken,8393 w. beverly blvd.
679,310-470-4992,century city,la cachette,french (new),10506 little santa monica blvd.
680,310-456-6299,malibu,la salsa (la),mexican,22800 pch
681,213-265-2887,st. boyle hts.,la serenata de garibaldi,mexican/tex-mex,1842 e. first
682,213-483-8050,la,langer's,delis,704 s. alvarado st.
683,818-706-7706,westlake village,local nochol,health food,30869 thousand oaks blvd.
684,310-475-7564,rancho park,main course  the,american,10509 w. pico blvd.
685,213-938-8800,la,mani's bakery & espresso bar,desserts,519 s. fairfax ave.
686,310-376-7786,st. hermosa beach,martha's,american,22nd street grill 25 22nd
687,310-306-7829,marina del rey,maxwell's cafe,american,13329 washington blvd.
688,310-451-0843,santa monica,michael's (los angeles),californian,1147 third st.
689,213-782-0181,la,mishima,noodle shops,8474 w. third st.
690,213-935-5280,la,mo better meatty meat,hamburgers,7261 melrose ave.
691,818-906-8881,encino,mulberry st.,pizza,17040 ventura blvd.
692,310-452-5728,santa monica,ocean park cafe,american,3117 ocean park blvd.
693,818-308-2128,monterey park,ocean star,seafood,145 n. atlantic blvd.
694,213-627-6879,la,original pantry bakery,diners,875 s. figueroa st. downtown
695,818-795-1001,pasadena,parkway grill,californian,510 s. arroyo pkwy.
696,213-626-5530,chinatown,pho hoa,vietnamese,642 broadway
697,213-931-4223,la,pink's famous chili dogs,hot dogs,709 n. la brea ave.
698,818-563-2252,burbank,poquito mas,mexican,2635 w. olive ave.
699,213-687-7178,los angeles,r-23,japanese,923 e. third st.
700,310-828-7937,santa monica,rae's,diners,2901 pico blvd.
701,818-905-6515,encino,rubin's red hots,hot dogs,15322 ventura blvd.
702,818-796-7829,pasadena,ruby's (la),diners,45 s. fair oaks ave.
703,310-596-9556,seal beach,russell's burgers,hamburgers,1198 pch
704,310-859-8744,beverly hills,ruth's chris steak house (los angeles),steakhouses,224 s. beverly dr.
705,818-799-4774,pasadena,shiro,pacific new wave,1505 mission st. s.
706,818-508-7017,studio city,sushi nozawa,japanese,11288 ventura blvd.
707,213-653-7145,la,sweet lady jane,desserts,8360 melrose ave.
708,310-207-7782,brentwood,taiko,noodle shops,11677 san vicente blvd.
709,213-389-9060,la,tommy's,hamburgers,2575 beverly blvd.
710,310-545-5177,manhattan beach,uncle bill's pancake house,diners,1305 highland ave.
711,213-891-0900,los angeles,water grill,seafood,544 s. grand ave.
712,818-244-1937,glendale,zankou chicken,middle eastern,1415 e. colorado st.
713,212-307-1612,new york city,afghan kebab house,afghan,764 ninth ave.
714,212-223-2900,new york city,arcadia,american (new),21 e. 62nd st.
715,212-254-2054,new york city,benny's burritos,mexican,93 ave. a
716,212-595-7000,new york city,cafe con leche,cuban,424 amsterdam ave.
717,212-242-9502,new york city,corner bistro,hamburgers,331 w. fourth st.
718,212-242-0636,new york city,cucina della fontana,italian,368 bleecker st.
719,212-260-6800,new york city,cucina di pesce,seafood,87 e. fourth st.
720,212-432-7227,new york city,darbar,indian,44 w. 56th st.
721,212-473-5555,new york city,ej's luncheonette,diners,432 sixth ave.
722,212-840-5000,new york city,edison cafe,diners,228 w. 47th st.
723,718-932-1510,queens,elias corner,greek,24-02 31st st.
724,212-496-0163,new york city,good enough to eat,american,483 amsterdam ave.
725,212-799-0243,new york city,gray's papaya,hot dogs,2090 broadway
726,212-673-3783,new york city,il mulino,italian,86 w. third st.
727,718-672-1232,queens,jackson diner,indian,37-03 74th st.
728,718-539-3838,queens,joe's shanghai,chinese,9 pell st.
729,212-721-7001,new york city,john's pizzeria,pizza,48 w. 65th st.
730,212-228-1212,new york city,kelley & ping,pan-asian,127 greene st.
731,212-674-4040,new york city,kiev,ukrainian,117 second ave.
732,212-317-2802,new york city,kuruma zushi,japanese,2nd fl.
733,212-874-2780,new york city,la caridad,cuban,2199 broadway
734,212-752-1495,new york city,la grenouille,french (classic),3 e. 52nd st.
735,718-399-7100,brooklyn,lemongrass grill,thai,61a seventh ave.
736,212-941-7994,new york city,lombardi's,pizza,32 spring st.
737,212-741-3214,new york city,marnie's noodle shop,asian,466 hudson st.
738,212-247-1585,new york city,menchanko-tei,japanese,39 w. 55th st.
739,212-989-1367,new york city,mitali east-west,indian,296 bleecker st.
740,212-580-8686,new york city,monsoon (ny),thai,435 amsterdam ave.
741,718-852-5555,brooklyn,moustache,middle eastern,405 atlantic ave.
742,212-219-0500,new york city,nobu,japanese,105 hudson st.
743,212-228-0822,new york city,one if by land  tibs,continental,17 barrow st.
744,212-490-6650,new york city,oyster bar,seafood,lower level
745,212-687-2953,new york city,palm,steakhouses,837 second ave.
746,212-697-5198,new york city,palm too,steakhouses,840 second ave.
747,718-858-4300,brooklyn,patsy's pizza,pizza,19 old fulton st.
748,718-387-7400,brooklyn,peter luger steak house,steakhouses,178 broadway
749,212-533-5011,new york city,rose of india,indian,308 e. sixth st.
750,212-213-2288,new york city,sam's noodle shop,chinese,411 third ave.
751,212-410-7335,new york city,sarabeth's,american,1295 madison ave.
752,212-687-4855,new york city,sparks steak house,steakhouses,210 e. 46th st.
753,718-937-3030,queens,stick to your ribs,bbq,5-16 51st ave.
754,212-755-1780,new york city,sushisay,japanese,38 e. 51st st.
755,212-996-0660,new york city,sylvia's,southern/soul,328 lenox ave.
756,212-535-5223,new york city,szechuan hunan cottage,chinese,1588 york ave.
757,212-249-4615,new york city,szechuan kitchen,chinese,1460 first ave.
758,718-520-2910,queens,teresa's,polish,80 montague st.
759,212-334-1085,new york city,thai house cafe,thai,151 hudson st.
760,212-349-3132,new york city,thailand restaurant,thai,106 bayard st.
761,212-228-9682,new york city,veselka,ukrainian,144 second ave.
762,212-245-0800,new york city,westside cottage,chinese,689 ninth ave.
763,212-524-7000,new york city,windows on the world,eclectic,107th fl.
764,212-753-0444,new york city,wollensky's grill,steakhouses,205 e. 49th st.
765,212-475-0969,new york city,yama,japanese,122 e. 17th st.
766,212-644-6740,new york city,zarela,mexican,953 second ave.
767,702-385-5016,las vegas,andre's french restaurant,french (classic),401 s. 6th st.
768,702-894-7350,las vegas,buccaneer bay club,continental,3300 las vegas blvd. s.
769,702-252-7697,las vegas,buzio's in the rio,seafood,3700 w. flamingo rd.
770,702-891-7374,las vegas,emeril's new orleans fish house,seafood,3799 las vegas blvd. s.
771,702-252-7702,las vegas,fiore rotisserie & grille,italian,3700 w. flamingo rd.
772,702-385-4011,las vegas,hugo's cellar,continental,202 e. fremont st.
773,702-894-7111,las vegas,madame ching's,asian,3300 las vegas blvd. s.
774,702-870-8432,las vegas,mayflower cuisinier,chinese,4750 w. sahara ave.
775,702-737-7111,las vegas,michael's (las vegas),continental,3595 las vegas blvd. s.
776,702-733-4524,las vegas,monte carlo,french (new),3145 las vegas blvd. s.
777,702-791-7352,las vegas,moongate,chinese,3400 las vegas blvd. s.
778,702-893-0703,las vegas,morton's of chicago (las vegas),steakhouses,3200 las vegas blvd. s.
779,702-792-9900,las vegas,nicky blair's,italian,3925 paradise rd.
780,702-369-2305,las vegas,piero's restaurant,italian,355 convention center dr.
781,702-369-6300,las vegas,spago (las vegas),californian,3500 las vegas blvd. s.
782,702-382-1600,las vegas,steakhouse  the,steakhouses,128 e. fremont st.
783,702-385-7111,las vegas,stefano's,italian,129 fremont st.
784,702-739-4651,las vegas,sterling brunch,eclectic,3645 las vegas blvd. s.
785,702-891-7331,las vegas,tre visi,italian,3799 las vegas blvd. s.
786,404-233-5993,atlanta,103 west,continental,103 w. paces ferry rd.
787,404-724-0444,atlanta,alon's at the terrace,sandwiches,659 peachtree st.
788,404-223-5039,atlanta,baker's cajun cafe,cajun/creole,1134 euclid ave.
789,404-766-9906,atlanta,barbecue kitchen,bbq,1437 virginia ave.
790,404-231-5733,atlanta,bistro  the,french bistro,56 e. andrews dr. nw
791,404-876-3872,atlanta,bobby & june's kountry kitchen,southern/soul,375 14th st.
