id,venue,address,pages,year,author,publisher,title,editor,note,month,volume,institution
221,proceedings of the fifth annual acm workshop on computational learning theory (pp.,,,(1992).,"freund, y.",acm press.,an improved boosting algorithm and its implications on learning complexity.,,,,391398).,
222,"in proceedings of the fifth workshop on computational learning theory,","san mateo, ca.",391-398.,1992.,"freund, y.",morgan kauf-mann.,an improved boosting algorithm and its implications on learning complexity.,,,,,
223,"in proceedings of the fifth annual acm workshop on computational learning theory,",,pages 391-398.,1992.,yoav freund.,"acm press,",an improved boosting algorithm and its implications on learning complexity.,,,,,
224,"in proceedings of the fifth annual acm workshop on computational learning theory,",,"pages 391-398,",1992.,yoav freund.,,an improved boosting algorithm and its implications on learning complexity.,,,july,,
225,"in proceedings of the fifth annual acm workshop on computational learning theory,",,pages 391-398.,1992.,yoav freund.,"acm press,",an improved boosting algorithm and its implications on learning complexity.,,,,,
226,"in proc. of the 5th ann. workshop on comput. learning theory,",,"pages 391-398,",1992.,yoav freund.,,an improved boosting algorithm and its implications on learning complexity.,,,july,,
227,"in proceedings of the 5th workshop on computational learning theory,",,pages 391-398.,1992.,yoav freund.,"morgan kaufman,",an improved boosting algorithm and its implications on learning complexity.,,,,,
228,"in proceedings of the fifth annual acm workshop on computational learning theory,",,pages 391-398.,1992.,yoav freund.,"acm press,",an improved boosting algorithm and its implications on learning complexity.,,,,,
229,"in proceedings of colt '92,",,pages 391-398.,1992.,y. freund.,"morgan kaufmann,",an improved boosting algorithm and its implications on learning complexity.,,,,,
230,"in proceedings of the fifth annual workshop on computational learning theory,",,"pages 391-398,",1992.,yoav freund.,,an improved boosting algorithm and its implications on learning complex-ity.,,,july,,
231,"proceedings of the 5rd annual workshop on computational learning theory,",,"pp. 391-98,",1992.,"freund, y.,",,"an improved boosting algorithm and its implications on learning complexity,",,,,,
232,"in proceedings of the fifth annual acm workshop on computational learning theory,",,pages 391-398.,1992.,y. freund.,"acm press,",an improved boosting algorithm and its implications on learning complexity.,,,,,
233,"in proceedings of the fifth workshop on computational learning theory,","san mateo, ca, 1992.","pages 391-398,",,y. freund.,morgan kaufmann.,an improved boosting algorithm and its implications on learning complexity.,,,,,
234,"in advances in neural information processing systems iv (denver 1992),",,,"(1992),","freund, y. and haussler, d.",and r.,"unsupervised learning of distributions on binary vectors using two layer networks,","ed. j. e. moody, s. j. hanson,",,,,
235,in proceedings of the 1991 conference on neural information processing systems.,,,1992.,y. freund and d. haussler.,"morgan kaufmann,",unsupervised learning of distributions on binary vectors using two layer networks.,,,,,
236,"advances in neural information processing systems 4,",,912-919.,,"freund, y & haussler,",,d (1992). unsupervised learning of distributions on binary vectors using two layer networks.,,,,,
237,"in advances in neural information processing systems 4,",,pages 912-919.,1992.,y. freund and d. haussler.,"morgan kaufmann publishers,",unsupervised learning of distributions on binary vectors using 2-layer networks.,,,,,
238,"in neural information processing systems 4,","san mateo, ca,",pp. 912-919.,"1992,","freund, y., and haussler, d.","morgan kaufmann publishers,",unsupervised learning of distributions on binary vectors using two layer networks.,"j. moody, s. hanson, and r. lippmann, eds.",,,,
239,"912919 in neural information processing systems 4, edited by j.moody, s.j.hanson and r.p.lippmann.","san mateo, ca,",,1992.,"freund, y., and haussler, d.,","morgan kaufmann publishers,",unsupervised learning of distributions on binary vectors using two layer networks. pp.,,,,,
240,"in proceedings of the 1991 conf. on neural informations processing systems,","san mateo, ca, 1992.",,,y. freund and d. haussler.,morgan kaufmann.,unsupevised learning of distributions on binary vectors using two-layer networks.,,,,,
241,proceedings of the 25th annual acm symposium on theory of computing (pp.,"san-diego, ca:",315-324).,(1993).,"y. freund, m. j. kearns, d. ron, r. rubinfeld, r. e. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,the association for computing machinery.
242,"in proceedings of the 24th annual acm symposium on theory of computing,",,"pages 315-324,",1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r.e. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
243,"stoc-93,",,pp. 315-324.,,"yoav freund, michael kearns, dana ron, ronitt rubinfeld, robert schapire, and linda sellie.",,"efficient learning of typical finite automata from random walks,",,,,,
244,"in proceedings of the 24th annual acm symposium on theory of computing,",,"pages 315-324,",1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r.e. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
245,"proc. 25 th annual acm symposium on the theory of computing,","pp.315-324,",,1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r. schapire, l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
246,"stoc-93,",,pp. 315-324.,,"yoav freund, michael kearns, dana ron, ronitt rubinfeld, robert schapire, and linda sellie.",,"efficient learning of typical finite automata from random walks,",,,,,
247,"in proceedings of the 24th annual acm symposium on theory of computing,",,,1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
248,"in proceedings of the 24th annual acm symposium on theory of computing,",,,1993.,"yoav freund, michael j. kearns, dana ron, ronitt rubinfeld, robert e. schapire, and linda sellie.",,efficient learning of typical finite automata from random walks.,,,,,
249,"in proceedings of the 24th annual acm symposium on theory of computing,",,,1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
250,"in proceedings of the 24th annual acm symposium on theory of computing,",,"pages 315-324,",1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
251,,,,,"y. freund, m. kearns, d. ron, r. rubinfeld, r.e. schapire, and l. sellie,",stoc-93.,"efficient learning of typical finite automata from random walks,",,,,,
252,"in proceedings of the twenty-fifth annual acm symposium on theory of computing,",,"pages 315-324,",1993.,"yoav freund, michael kearns, dana ron, ronitt rubinfeld, robert schapire, and linda sellie.",,efficient learning of typical finite automata from random walks.,,,may,,
253,"in proceedings of the twenty-fifth annual acm symposium on theory of computing,",,"pages 315-324,",1993.,"yoav freund, michael kearns, dana ron, ronitt rubenfeld, robert schapire, and linda sellie.",,efficient learning of typical finite automata from random walks.,,,may,,
254,"13 in proceedings of the 25th annual acm symposium on theory of com--puting,","san-diego, ca, 1993.","pages 315-324,",,"y. freund, m. j. kearns, d. ron, r. rubinfeld, r. e. schapire, and l. sellie.",acm press.,efficient learning of typical finite automata from random walks.,,,,,
255,"in proceedings of the 24th annual acm symposium on theory of computing,",,"pages 315-324,",1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r.e. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
256,"in proceedings of the 24th annual acm symp. on theory of computing,",,"pages 315-324,",1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r. e. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
257,"in proceedings of the 24th annual acm symp. on theory of computing,",,"pages 315-324,",1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r.e. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
258,"in proc. 25th stoc,",,pages 315-324.,1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r. schapire, and l. sellie.","acm,",efficient learning of typical finite automata from random walks.,,,,,
259,"in proceedings of the eighteenth annual acm symposium on theory of computing,","san diego, ca,","pages 315-324,",1993.,"yoav freund, michael kearns, dana ron, ronitt rubinfeld, robert schapire, and linda sellie.",,efficient learning of typical finite automata from random walks.,,,may,,
260,"in acm symposium on the theory of computing,",,"pages 315-324,",1993.,"y. freund, m. kearns, d. ron, r. rubinfeld, r. e. schapire, and l. sellie.",,efficient learning of typical finite automata from random walks.,,,,,
261,"in proceedings of the 25th annual acm symposium on theory of computing,",82 references,315-324.,1993.,"freund, y.; kearns, m. j.; ron, d.; rubinfeld, r.; schapire, r. e.; and sellie, l.",acm press.,efficient learning of typical finite automata from random walks.,,,,,
262,"phd thesis,",,,1993.,yoav freund.,,data filtering and distribution modeling algorithms for machine learning.,,retrievable from: ftp.cse.ucsc.edu/pub/tr/ucsc-crl-93-37.ps.z.,,,"university of california at santa cruz,"
263,"phd thesis,",,,(1993).,"freund, y.",,data filtering and distribution modeling algorithms for machine learning.,,,,,university of california at santa cruz.
264,"phd thesis,",,,(1993).,"freund, y.",,data filtering and distribution modeling algorithms for machine learning.,,available as technical report ucsc-crl-93-37.,,,university of california at santa cruz.
265,"phd thesis,",,,1993.,yoav freund.,,data filtering and distribution modeling algorithms for machine learning.,,retrievable from: ftp.cse.ucsc.edu/pub/tr/ucsc-crl-93-37.ps.z.,,,"university of california at santa cruz,"
266,"in advances in neural information processing systems,","cambridge, ma, 1993.",,,"yoav freund, h. sebastian seung, eli shamir, and naftali tishby.",mit press.,selective sampling using the query by committee algorithm.,,,,,
267,"in proceedings of the 1992 conf. on neural informations processing systems (to appear),","san mateo, ca, 1993.",,,"y. freund, h.s seung, e. shamir, and n. tishby.",morgan kaufmann.,accelerating learning using query by committee.,,,,,
268,"information and computation,",,"256-285,",1995.,y. freund.,,boosting a weak learning algorithm by majority.,,also appeared in colt90.,september,121(2),
269,"information and computation,",,"256-285,",1995.,y. freund.,,boosting a weak learning algorithm by majority.,,also appeared in colt90.,september,121(2),
270,"information and computation,",,,,yoav freund.,,boosting a weak learning algorithm by majority.,,to appear.,,,
271,"information and computation 121(2),",,256-285.,"(1995),","freund, y.",,"`boosting a weak learning algorithm by majority',",,,,,
272,"information and computation,",,256-285.,(1995).,"freund, y.",,boosting a weak learning algorithm by majority.,,also appeared in colt90.,,"121 (2),",
273,"information and computation 121(2),",,256-285.,"(1996),","freund, y.",,"`boosting a weak learning algorithm by majority',",,,,,
274,information and computation 121(2):,,256-285.,1996.,"freund, y.",,boosting a weak learning algorithm by majority.,,,,,
275,,,,,"freund, y.:",,boosting a weak learning algorithm by majority.,,information and compu tation 121 (1996) 256-285.,,,
276,,,,,"freund, y.:",,boosting a weak learning algorithm by majority.,,information and computation 121 (1996) 256-285.,,,
277,"information and computation,",,,1990.,yoav freund.,,boosting a weak learning algorithm by majority.,,"to appear. an extended abstract appeared in proceedings of the third annual workshop on computational learning theory,",,,
278,"information and computation,",,"256-285,",1995.,yoav freund.,,boosting a weak learning algorithm by majority.,,,,121(2),
279,"information and computation,",,"256-285,",1995.,yoav freund.,,boosting a weak learning algorithm by majority.,,,,121(2),
280,"information and computation,",,"256-285,",1995.,yoav freund.,,boosting a weak learning algorithm by majority.,,,,121(2),
281,"information and computation,",,"256-285,",1995.,yoav freund.,,boosting a weak learning algorithm by major ity.,,,september,121(2),
282,"information and computation,",,"256-285,",1995.,yoav freund.,,boosting a weak learning algorithm by majority.,,,september,121(2),
283,"information and computation,",,"256-285,",1995.,yoav freund.,,boosting a weak learning algorithm by majority.,,,,121(2),
284,information and computation 121(2):,,256-285.,,"freund, y.",,boosting a weak learning algorithm by majority.,,,,,
285,"in proceedings of the second european conference on computational learning theory,",,pages 23-37.,1995.,y. freund and r. e. schapire.,"springer-verlag,",a decision-theoretic generalization of on-line learning and an applicationto boosting.,,,,,
286,"in proceedings of the second european conference on computational learning theory,",,pages 23-37.,1995.,y. freund and r. e. schapire.,"springer-verlag,",a decision-theoretic generalization of on-line learning and an application to boosting.,,20 christopher merz,,,
287,"in computational learning theory: second european conference,",,pages 23-37.,1995.,yoav freund and robert e. schapire.,"springer-verlag,",a decision-theoretic generalization of on-line learning and an application to boosting.,,,,"eurocolt '95,",
288,"in 'proceedings of the second european conference on computational learning theory',",,pp. 23-37.,"(1995),","freund, y. & schapire, r. e.","springer-verlag,","a decision-theoretic generalization of on-line learning and an application to boosting,",,,,,
289,"in proceedings of the second european conference on computational learning theory,",,pp. 23-37.,"(1995),","freund, y. & schapire, r. e.","springer-verlag,","a decision-theoretic generalization of on-line learning and an application to boosting,",,,,,
290,"in `proceedings of the second european conference on computational learning theory',",,pp. 23-37.,"(1995),","freund, y. & schapire, r. e.","springer-verlag,","a decision-theoretic generalization of on-line learning and an application to boosting,",,,,,
291,"in `proceedings of the second european conference on computational learning theory',",,pp. 23-37.,"(1995),","freund, y. & schapire, r. e.","springer-verlag,","a decision-theoretic generalization of on-line learning and an application to boosting,",,to appear in journal of computer and system sciences.,,,
292,in proc. of the 2nd annual european conf. on computational learning theory.,,,(1995).,"freund, y. & schapire, r. e.",,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
293,"in proceedings of the second european conference on computational learning theory,",,(pp. 23-37).,(1995).,"freund, y. & schapire, r. e.",springer-verlag.,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
294,"in proceedings of the second european conference on computational learning theory,","barcelona, spain.",,(1995).,"freund, y. & schapire, r. e.",,a decision-theoretic generalization of on-line learning and its application to boosting.,,,,,
295,in proceedings of the second european conference on computational learning.,,,(1995).,"freund, y. & shapire, r.",,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
296,in 2nd european conference on computational learning theory.,,,(1995).,"freund, y. and schapire, r.",,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
297,in computational learning theory:,,pages 23-37.,(1995).,"freund, y. and schapire, r. e.",springer-verlag.,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,"eurocolt '95,",
298,in proceedings of the second european conference on computational learning theory.,"barcelona, spain.",,1995.,"freund, y. and schapire, r.e.",,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
299,"in proceedings ecml-95 san francisco,",ca.,,(1995).,"freund, y., & schapire, r. e.",morgan kaufmann.,a decisiontheoretic generalization of on-line learning and an application to boosting.,,,,,
300,"in proceedings of the second european conference on computational learning theory,",,pages 23-37.,1995.,yoav freund and robert e. schapire.,"springer-verlag,",a decision-theoretic generalization of on-line learning and an application to boosting.,,a long version will appear in jcss.,,,
301,"in proceedings of the second european conference on computational learning theory,",,pages 23-37.,1995.,yoav freund and robert e. schapire.,"springer-verlag,",a decisiontheoretic generalization of on-line learning and an application to boosting.,,a long version will appear in jcss.,,,
302,"in proceedings of the second european conference on computational learning theory,",,pages 23-37.,1995.,yoav freund and robert e. schapire.,"springer-verlag,",a decision-theoretic generalization of on-line learning and an application to boosting.,,a long version will appear in jcss.,,,
303,"in proceedings of the second european conference on computational learning theory,",,"pages 2337,",1995.,yoav freund and robert e. schapire.,,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
304,"in second european conference on computational learning theory,",,pages 23-37.,1995.,yoav freund and robert e. schapire.,"springer-verlag,",a decision-theoretic gen eralization of on-line learning and an application to boosting.,,,,,
305,"in second european conference on computational learning theory,",,pages 23-37.,1995.,yoav freund and robert e. schapire.,"springer-verlag,",a decision-theoretic generalization of on-line learning and an application to boosting.,,,13,,
306,"in eurocolt '95,pp.",,"23-27,",1995.,"schapire, r.e., and y. freund,","springer verlag,",'a decision theoretic generalization of on-line learning and its application to boosting'.,,,,,
307,"in eurocolt-95,",,,1995.,y. freund and r.e. schapire.,,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
308,"in computational learning theory: second european conference,",,pages 23-37.,1995.,yoav freund and robert e. schapire.,"springer-verlag,",a decision-theoretic generalization of on-line learning and an application to boosting.,,"a draft of the journal version is available electronically (on our web pages, or by email request).",,"euro-colt '95,",
309,"in proceedings of the second european conference on computational learning theory (mar. 1995),",,pp. 23-37. 20,,"freund, y., and schapire, r. e.","springer-verlag,",a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
310,"in computational learning theory: 7 second european conference,",,pages 23-37.,1995.,yoav freund and robert e. schapire.,"springer-verlag,",a decision-theoretic generalization of online learning and an application to boosting.,,"a draft of the journal version is available electronically (on our web pages, or by email request).",,"eurocolt '95,",
311,"in proceedings of the second european conference on computational learning theory,",,"pages 2337,",1995.,y. freund and r. schapire.,,a decision-theoretic gener alization of on-line learning and an application to boosting.,,,,,
312,"in proceedings of the second european conference on computational learning theory,",,"pages 23-37,",1995.,y. freund and r. schapire.,,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
313,"in proceedings of the second european conference on computational learning theory,",,"pages 2337,",1995.,y. freund and r. schapire.,,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
314,"in eurocolt95,",,,1995.,yoav freund and robert e. schapire.,,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,
315,"lecture notes in artificial intelligence,","berlin, germany:",904.,(1995.),"freund, y. & schapire, r.e.",springer-verlag.,a decision-theoretic generalization of on-line learning and an application to boosting.,"in vitanyi, p. (ed.),",,,vol.,
316,"tech. rep.,","murray hill, nj.",,(1995).,"freund, y., & schapire, r. e.",,a decision-theoretic generalization of on-line learning and an application to boosting.,,,,,"at&t bell laboratories,"
317,"proceedings of the 1995 conference on computational learning theory,",,"pages 4150,",1995.,y. freund and d. ron.,,learning to model sequences generated by switching distributions.,,,,,
318,,"colt,",,1995.,"y. freund, d. ron.",,learning to model sequences generated by switching distributions.,,,,,
319,,"colt,",,1995.,"y. freund, d. ron.",,learning to model sequences generated by switching distributions.,,,,,
320,"in proceedings of the eighth annual acm conference on computational learning theory (colt),",,,1995.,y. freund and d. ron.,,learning to model sequences generated by switching distributions.,,,,,
321,"in proceedings of the eighth annual acm conference on computational learning theory (colt),",,"pages 41-50,",1995.,y. freund and d. ron.,,learning to model sequences generated by switching distributions.,,,,,
322,proceedings of the 36 th annual symposium on foundations of computer science.,,,1995.,"freud, y., kearns, m., mansour, y. ron, d., rubinfeld, r., and shapire, r. e.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,,,,
323,"to appear in proceedings of the thirty sixth annual symposium on foundations of computer science,",,,1995.,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,,,,
324,"to appear in proceedings of the thirty sixth annual symposium on foundations of computer science,",,,1995.,"yoav freund, michael j. kearns, yishay mansour, dana ron, ronitt rubinfeld, and robert e. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,,,,
325,"in proceedings of the thirty seventh annual symposium on foundations of computer science,",,"pages 332-341,",1996.,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,,,,
326,"in proceedings of the thirty sixth annual symposium on foundations of computer science,",,"pages 332-341,",1995.,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. e. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,,,,
327,focs 36.,,,,"freund, y., m. kearns et al.",,(1995) efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,,,,
328,"in ieee symposium on the foundations of computer science,",,,1995.,"y. freund, m. kearns, y. mansour, d. ron, r. rubinfeld, and r. e. schapire.",,efficient algorithms for learning to play repeated games against computationally bounded adversaries.,,,,,
329,"in proceedings of the 9th annual conference on computational learning theory,",,"pages 89-98,",1996.,y. freund.,,predicting a binary sequence almost as well as the optimal biased coin.,,,,,
330,"in proc. 9th annual conference on computational learning theory,",new york:,pp. 89-98.,"1996,","y. freund,","acm press,","'predicting bits almost as well as the optimal biased coin,'",,,,,
331,"proceedings of the ninth annual conference on computational learning theory,",,,(1996).,"y. freund,","acm press,","predicting a binary sequence as well as the optimal biased coin,",,,,,
332,"in proceedings of the ninth annual conference on computational learning theory,",,,1996.,yoav freund.,,predicting a binary sequence almost as well as the optimal biased coin.,,,,,
333,"in pro ceedings of the 9th annual conference on computational learning theory,",,"pages 325-332,",1996.,y. freund and r. schapire.,,"game theory, on-line prediction and boosting.",,,,,
334,"in proceedings of the 9th annual conference on computational learning theory,",,"pages 325-332,",1996.,y. freund and r. schapire.,,"game theory, on-line prediction and boosting.",,,,,
335,"in proceedings of the ninth annual conference on computational learning theory,",,"pages 325-332,",1996.,yoav freund and robert e. schapire.,,"game theory, on-line prediction and boosting.",,,,,
336,"in proceedings of the ninth annual conference on computational learning theory,",,"pages 325-332,",1996.,yoav freund and robert e. schapire.,,"game theory, on-line prediction and boosting.",,,,,
337,"in proceedings of the ninth annual conference on computational learning theory,",,,1996.,y. freund and r.e. schapire.,,"game theory, on-line prediction and boosting.",,,,,
338,"in proceedings of the 9th annual conference on computational learning theory,",,,1996.,"y. freund and r. schapire,",,"game theory, on-line prediction and boosting,",,,,,
339,"in colt-96,",,"pages 325332,",1996.,y. freund and r. schapire.,,"game theory, on-line prediction and boosting.",,,,,
340,in proceedings of the 13th international conference on machine learning.,,,1996.,yoav freund and robert e. schapire.,"morgan kaufmann,",experiments with a new boosting algorithm.,,,,,
341,in proceedings of the 13th international conference on machine learning.,,,1996.,yoav freund and robert e. schapire.,"morgan kaufmann,",experiments with a new boosting algorithm.,,,,,
342,"proceedings of the thirteenth international conference on machine learning,","san francisco, ca, pp.148-156,",,1996.,"freund y., schapire r.e.:","morgan kauf-mann,","experiments with a new boosting algorithm, in saitta l.(ed.),",,,,,
343,"proc. of the thirteenth international conference on machine learning,","san francisco, ca:",pp. 148-156.,(1996).,"freund, v., & schapire, r. e.","morgan kaufmann,",experiments with a new boosting algorithm.,,,,,
344,"in proceedings of the thirteenth international conference on machine learning,",,"pp. 148-156,",,"freund, y. & r.e.",morgan kaufmann.,"schapire (1996), experiments with a new boosting algorithm,",,,,,
345,"in proceedings of the thirteenth international conference on machine learning,",,"pp. 148-156,",,"freund, y. & r.e.",morgan kaufmann.,"schapire (1996), experiments with a new boosting algo rithm,",,,,,
346,"proc. 13th int. conf. machine learning,",,pp. 148156.,(1996).,"freund, y. & schapire, r.",,"experiments with a new boosting algorithm,",,,,,
347,proc. thirteenth conf. machine learning (pp.,,148-156).,(1996).,"freund, y. & schapire, r.",,experiments with a new boosting algorithm.,,,,,
348,"`machine learning: proceedings of the thirteenth national conference',",,pp. 148-156.,"(1996),","freund, y. & schapire, r. e.","morgan kaufmann,","experiments with a new boosting algorithm,","in l. saitta, ed.,",,,,
349,in proceedings of the 13th international conference on machine learning.,,,(1996).,"freund, y. & schapire, r. e.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
350,"in proceedings of the thirteenth international conference on machine learning,","bari, italy.",,(1996).,"freund, y. & schapire, r. e.",,experiments with a new boosting algorithm.,,,,,
351,"in proceedings of the thirteenth international conference on machine learning,","bari, italy.","(pp. 148-156),",(1996).,"freund, y. & schapire, r. e.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
352,machine learning : proceedings of the thirteenth international conference.,,,,"freund, y. and r.",,schapire (1996). experiments with a new boosting algorithm.,,,,,
353,"in proceedings of the thirteenth international conference on machine learning,","san francisco, ca:",148-156.,1996b.,"freund, y. and schapire, r.e.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
354,proceedings of the thirteenth international conference on machine learning.,"san fran-cisco, ca:",,,"freund, y. and schapire, r.e.:",morgan kaufmann (1996) 148-156.,experiments with a new boosting algorithm.,,,,,
355,proceedings of the 13th international conference on machine learning.,,,,"freund, y. and schapire, r.e.:",morgan kaufmann (1996b) 148-156.,experiments with a new boosting algorithm.,,,,,
356,"in proceedings of the international conference in machine learning san francisco,",ca.,,(1996).,"freund, y., & schapire, r.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
357,"in proceedings of the international conference in machine learning,","148-156 san francisco, ca.",pp.,(1996).,"freund, y., & schapire, r.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
358,proceedings of the 13rd international conference of machine learning (pp.,"san francisco, ca:",149-156).,(1996).,"freund, y., & schapire, r. e.",morgan kaufmann.,"experiments with a new boosting algorithm,",,,,,
359,,,,(1996).,"freund, y., & schapire, r. e.",,experiments with a new boosting algorithm.,,,,,
360,"in proceedings thirteenth international conference on machine learning,",san francisco:,pp. 148-156.,(1996).,"freund, y., & schapire, r. e.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
361,proc. thirteenth international conference on machine learning (pp.,"bari, italy:",148-156).,(1996).,"freund, y., & schapire, r. e.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
362,"proceedings of the 13th international conference on machine learning,","bari, italy.","pp. 148-156,",(1996).,"freund, y., & schapire, r. e.",morgan kaufmann.,experiments with a new boosting algorithm.,"in saitta, l. (ed.),",,,,
363,"proceedings of the thirteenth international conference on machine learning,","148-156 san francisco, ca.",pp.,(1996).,"freund, y., & schapire, r. e.",morgan kaufmann.,experiments with a new boosting algorithm.,"in saitta, l. (ed.),",,,,
364,"in proceedings thirteenth international conference on machine learning,",san francisco:,pp. 148-156.,(1996b).,"freund, y., & schapire, r. e.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
365,"in proc. thirteenth conf. machine learning,",,148-156.,1996.,"freund, y., and schapire, r.",,experiments with a new boosting algorithm.,,,,,
366,"in proceedings of the thirteenth international conference on machine learning,",,148-156.,1996.,"freund, y., and schapire, r.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
367,"in proc. thirteenth international conference on machine learning,","bari, italy:",148-156.,1996.,"freund, y., and schapire, r. e.",morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
368,in proceedings of the thirteenth international conference on machine learning.,,,(1996).,"freund, yoav and schapire, robert e.",,experiments with a new boosting algorithm.,,,,,
369,in proceedings of the thirteenth international conference on machine learning.,,,1996.,yoav freund and robert e. schapire.,,experiments with a new boosting algorithm.,,,,,
370,"in proc. thirteenth conf. machine learning,",,"pages 148156,",1996.,y. freund and r. schapire.,,experiments with a new boosting algorithm.,,,,,
371,machine learning proc of 13th international conference.,,,1996.,y. freund and r. schapire.,"morgan kaufmann,",experiments with a new boosting algorithm.,"in l. saitta, editor,",,,,
372,"proceedings of the thirteenth international conference on machine learning,",,148-156.,,"y. freund., r. e.",,schapire (1996). experiments with a new boosting algorithm.,,,,,
373,"in machine learning: proceedings of the thirteenth international conference,",,"pages 148-156,",1996.,yoav freund and robert e. schapire.,,experiments with a new boosting algorithm.,,,,,
374,"in proc. thirteenth conf. machine learning,",,"pages 148156,",1996.,y. freund and r. schapire.,,experiments with a new boosting algorithm.,,,,,
375,"in proceedings of the thirteenth international conference on machine learning,","bari, italy, 1996.","pages 148-156,",,y. freund and r. e. schapire.,morgan kaufmann.,experiments with a new boosting algorithm.,,,,,
376,"in machine learning: proceedings of the thirteenth international conference,",,"pages 148-156,",1996.,yoav freund and robert e. schapire.,,experiments with a new boosting algorithm.,,,,,
377,"in proc. thirteenth conf. machine learning,",,"pages 148-156,",1996.,y. freund and r. schapire.,,experiments with a new boosting algorithm.,,,,,
378,"in machine learning: proceedings of thirteenth international conference,",,"pages 148-156,",1996.,y. freund and r.e. schapire.,,experiments with a new boosting algorithm.,,,1,,
379,"in machine learning: proceedings of the thirteenth international conference,",,,1996.,yoav freund and robert e. schapire.,,experiments with a new boosting algorithm.,,,,,
380,"proceedings of the thirteenth international conference on machine learning,",,148-156.,(1996).,"freund, y., & schapire, r. e.",,experiments with a new boosting algorithm.,,,,,
381,"in proceedings of the thirteenth international conference on machine learning (icml-96),","san francisco, ca,",pages 148-156.,1996.,y. freund and r. schapire.,"morgan kaufmann,",experiments with a new boosting algorithm.,,,,,
382,"in machine learning: proceedings of the thirteenth international conference,",,"pages 148-156,",1996.,yoav freund and robert e. schapire.,,experiments with a new boosting algorithm.,,,,,
383,"in machine learning: proceedings of the thirteenth international conference,",,"pages 148-156,",1996.,yoav freund and robert e. schapire.,,experiments with a new boosting algorithm.,,,,,
384,in machine learning: proceedings of the international conference.,,,1996.,y. freund and r. schapire.,"morgan kaufmann,",some experiments with a new boosting algorithm.,,,,,
385,"in machine learning: proceedings of the thirteenth international conference,",,"pages 148-156,",1996.,yoav freund and robert e. schapire.,,experiments with a new boosting algorithm.,,,,,
386,,,,1996.,yoav freund and robert e. schapire.,,experiments with a new boosting algorithm.,,,,,
387,"in icml-96,",,"pages 148156,",1996.,y. freund and r. schapire.,,experiments with a new boosting algorithm.,,,,,
